uri,station,county,county_id,zone,name,timezone,elevation_ft,latitude,longitude,mail_address,mail_city,mail_state,mail_zipcode,phone,email
https://api.weather.gov/stations/K0A9,K0A9,Carter,TNC019,TNZ150,Elizabethton Municipal Airport,America/New_York,1591.285,36.371,-82.173,5974 Commerce Blvd.,Morristown,TN,37814,(423) 586-3771,sr-mrx.webmaster@noaa.gov
https://api.weather.gov/stations/K0CO,K0CO,Clear Creek,COC019,COZ212,Berthoud Pass,America/Denver,12474.362,39.79453,-105.76393,325 Broadway,Boulder,CO,80305-3328,303-494-4221,w-bou.webmaster@noaa.gov
https://api.weather.gov/stations/K0D8,K0D8,Potter,SDC107,SDZ269,GETTYSBURG,America/Chicago,2060.468,44.98671,-99.95283,824 Brown County 14 South,Aberdeen,SD,57401-9311,605-225-0519,w-abr.webmaster@noaa.gov
https://api.weather.gov/stations/K0E0,K0E0,Torrance,NMC057,NMZ107,Moriarty Municipal Airport,America/Denver,6178.123,34.98374,-105.99576,2341 Clark Carr Loop SE,Albuquerque,NM,87106-5633,(505) 243-0702,sr-abq.webmaster@noaa.gov
https://api.weather.gov/stations/K0F2,K0F2,Montague,TXC337,TXZ091,Bowie Municipal Airport,America/Chicago,1099.135,33.6017,-97.7756,3401 Northern Cross Blvd.,Fort Worth,TX,76137,817.429.2631,sr-fwd.webmaster@noaa.gov
https://api.weather.gov/stations/K0J4,K0J4,Covington,ALC039,ALZ060,"Florala, Florala Municipal Airport",America/Chicago,314.976,31.0425,-86.31167,8400 Airport Blvd Bldg 11,Mobile,AL,36608,251-633-6443,sr-mob.webmaster@noaa.gov
https://api.weather.gov/stations/K0R0,K0R0,Marion,MSC091,MSZ072,Columbia-Marion County Airport,America/Chicago,262.48,31.297,-89.8128,234 Weather Service Dr.,Flowood,MS,39232,601-936-2189,sr-jan.webmaster@noaa.gov
https://api.weather.gov/stations/K0R4,K0R4,Concordia,LAC029,LAZ026,Vidalia Concordia Parish,America/Chicago,52.496,31.562,-91.5065,234 Weather Service Dr.,Flowood,MS,39232,601-936-2189,sr-jan.webmaster@noaa.gov
https://api.weather.gov/stations/K0S9,K0S9,Jefferson,WAC031,WAZ653,Port Townsend Jefferson County International Airport,America/Los_Angeles,104.992,48.0551699,-122.81159,7600 Sand Point Way NE,Seattle,WA,98115-6349,(206) 526-6087,w-sew.webmaster@noaa.gov
https://api.weather.gov/stations/K0V4,K0V4,Campbell,VAC031,VAZ045,Brookneal/Campbell County Aiport,America/New_York,593.861,37.1417,-79.0164,1750 Forecast Drive,Blacksburg,VA,24060,540-552-0084,rnk.webmaster@noaa.gov
https://api.weather.gov/stations/K0VG,K0VG,Lee,VAC105,VAZ600,Lee County Airport,America/New_York,1410.83,36.65408,-83.21783,5974 Commerce Blvd.,Morristown,TN,37814,(423) 586-3771,sr-mrx.webmaster@noaa.gov
https://api.weather.gov/stations/K11R,K11R,Washington,TXC477,TXZ197,"Brenham, Brenham Municipal Airport",America/Chicago,305.133,30.21889,-96.37417,1353 FM 646 Suite 202,Dickinson,TX,77539,281-337-5074,sr-hgx.webmaster@noaa.gov
https://api.weather.gov/stations/K12N,K12N,Sussex,NJC037,NJZ001,"Andover, Aeroflex-Andover Airport",America/New_York,584.018,41.0092799,-74.7362799,732 Woodlane Rd.,Mount Holly,NJ,8060,609-261-6600,wfophi.webmaster@noaa.gov
https://api.weather.gov/stations/K13K,K13K,Greenwood,KSC073,KSZ070,EUREKA,America/Chicago,1207.408,37.8516,-96.2917,2142 S. Tyler Road,Wichita,KS,67209-3016,316-942-3102,w-ict.webmaster@noaa.gov
https://api.weather.gov/stations/K14Y,K14Y,Todd,MNC153,MNZ042,Todd Field Airport,America/Chicago,1325.524,45.90171,-94.87275,1733 Lake Drive West,Chanhassen,MN,55317-8581,952-361-6670,w-mpx.webmaster@noaa.gov
https://api.weather.gov/stations/K18A,K18A,Franklin,GAC119,GAZ026,Franklin County Airport,America/New_York,889.151,34.3404,-83.1307999,"GSP International Airport
1549 GSP Drive",Greer,SC,29651,(864) 848-3859,gsp.webmaster@noaa.gov
https://api.weather.gov/stations/K1A5,K1A5,Macon,NCC113,NCZ062,Macon County Airport,America/New_York,1998.129,35.22277,-83.41497,"GSP International Airport
1549 GSP Drive",Greer,SC,29651,(864) 848-3859,gsp.webmaster@noaa.gov
https://api.weather.gov/stations/K1A6,K1A6,Bell,KYC013,KYZ087,"Middlesboro, Middlesboro-Bell County Airport",America/New_York,1154.912,36.61056,-83.7372199,1329 Airport Road,Jackson,KY,41339,606-666-8000,w-jkl.webmaster@noaa.gov
https://api.weather.gov/stations/K1A9,K1A9,Autauga,ALC001,ALZ041,Prattville - Grouby Field,America/Chicago,223.108,32.4387,-86.5127,465 Weathervane Road,Calera,AL,35040,205-664-3010,sr-bmx.webmaster@noaa.gov
https://api.weather.gov/stations/K1B1,K1B1,Columbia,NYC021,NYZ060,HUDSON,America/New_York,196.86,42.29133,-73.71033,"251 Fuller Road
Suite B-300",Albany,NY,12203,518-435-9580,Alywebmaster@noaa.gov
https://api.weather.gov/stations/K1B7,K1B7,Plaquemines,LAC075,LAZ069,Boothville Heliport,America/Chicago,0,29.35,-89.43333,62300 Airport Rd.,Slidell,LA,70460-5243,504.522.7330    985.649.0429,sr-lix.webmaster@noaa.gov
https://api.weather.gov/stations/K1D1,K1D1,Grant,SDC051,SDZ273,MILBANK,America/Chicago,1115.54,45.23053,-96.56596,824 Brown County 14 South,Aberdeen,SD,57401-9311,605-225-0519,w-abr.webmaster@noaa.gov
https://api.weather.gov/stations/K1D3,K1D3,Charles Mix,SDC023,SDZ255,PLATTE,America/Chicago,1617.533,43.40332,-98.82952,26 Weather Lane,Sioux Falls,SD,57104-0198,605-330-4247,w-fsd.webmaster@noaa.gov
https://api.weather.gov/stations/K1D7,K1D7,Day,SDC037,SDZ272,WEBSTERMUNC,America/Chicago,1853.765,45.29258,-97.51379,824 Brown County 14 South,Aberdeen,SD,57401-9311,605-225-0519,w-abr.webmaster@noaa.gov
https://api.weather.gov/stations/K1F0,K1F0,Carter,OKC019,OKZ046,"Ardmore, Ardmore Downtown Executive Airport",America/Chicago,839.936,34.14694,-97.1225,"National Weather Center
120 David L. Boren Blvd. Suite 2400",Norman,OK,73072,(405) 325-3816,sr-oun.webmaster@noaa.gov
https://api.weather.gov/stations/K1H2,K1H2,Effingham,ILC049,ILZ066,"Effingham, Effingham County Memorial Airport",America/Chicago,584.018,39.07056,-88.53333,1362 State Route 10,Lincoln,IL,62656,217-732-3089,w-ilx.webmaster@noaa.gov
https://api.weather.gov/stations/K1J0,K1J0,Holmes,FLC059,FLZ009,Tri-County Airport,America/Chicago,82.025,30.84578,-85.60139,"1017 Academic Way
FSU, Love Bldg, 4th Floor",Tallahassee,FL,32306-4509,850-942-8833 (person) or 850-942-8851 (recording),sr-tae.webmaster@noaa.gov
https://api.weather.gov/stations/K1K1,K1K1,Butler,KSC015,KSZ069,Benton Lloyd Stearman Field,America/Chicago,1361.615,37.7744,-97.1132,2142 S. Tyler Road,Wichita,KS,67209-3016,316-942-3102,w-ict.webmaster@noaa.gov
https://api.weather.gov/stations/K1L0,K1L0,St. John The Baptist,LAC095,LAZ058,St John The Baptist Parish Reserve,America/Chicago,6.562,30.087,-90.5827,62300 Airport Rd.,Slidell,LA,70460-5243,504.522.7330    985.649.0429,sr-lix.webmaster@noaa.gov
https://api.weather.gov/stations/K1M4,K1M4,Winston,ALC133,ALZ014,"Haleyville, Posey Field Airport",America/Chicago,931.804,34.28028,-87.60028,320A Sparkman Drive,Huntsville,AL,35805,256-890-8503,sr-hun.webmaster@noaa.gov
https://api.weather.gov/stations/K1M5,K1M5,Sumner,TNC165,TNZ501,Portland Municipal Airport,America/Chicago,816.969,36.5929,-86.4769,500 Weather Station Road,Old Hickory,TN,37138,615-754-8500,sr-ohx.webmaster@noaa.gov
https://api.weather.gov/stations/K1P1,K1P1,Grafton,NHC009,NHZ005,Plymouth Municipal Airport,America/New_York,501.993,43.77714,-71.7559799,"P.O. Box 1208
1 Weather Lane",Gray,ME,4039,207-688-3216,gyx.webmaster@noaa.gov
https://api.weather.gov/stations/K1R7,K1R7,Lincoln,MSC085,MSZ062,Brookhaven-Lincoln County Airport,America/Chicago,488.869,31.6058,-90.4093,234 Weather Service Dr.,Flowood,MS,39232,601-936-2189,sr-jan.webmaster@noaa.gov
https://api.weather.gov/stations/K1S3,K1S3,Rosebud,MTC087,MTZ131,FORSYTH,America/Denver,2726.511,46.27116,-106.62389,2170 Overland Ave,Billings,MT,59102-6455,(406) 652-0851,w-byz.webmaster@noaa.gov
https://api.weather.gov/stations/K1S5,K1S5,Yakima,WAC077,WAZ675,Sunnyside Municipal Airport,America/Los_Angeles,767.754,46.3271,-119.9704,2001 NW 56th Drive,Pendleton,OR,97801,(541) 276-7832,w-pdt.webmaster@noaa.gov
https://api.weather.gov/stations/K1V4,K1V4,Caledonia,VTC005,VTZ007,St. Johnsbury - Fairbanks,America/New_York,695.572,44.4201,-72.0193,1200 Airport Drive,South Burlington,VT,,(802) 862-2475,btv.webmaster@noaa.gov
https://api.weather.gov/stations/K1V6,K1V6,Fremont,COC043,COZ222,FREMONT,America/Denver,5436.617,38.41861,-105.1011,3 Eaton Way,Pueblo,CO,81001-4856,(719) 948-9429,w-pub.webmaster@noaa.gov
https://api.weather.gov/stations/K1YT,K1YT,Yakima,WAC077,WAZ675,Vagabond Army Airfield,America/Los_Angeles,1433.797,46.6667,-120.45,2001 NW 56th Drive,Pendleton,OR,97801,(541) 276-7832,w-pdt.webmaster@noaa.gov
https://api.weather.gov/stations/K20U,K20U,Golden Valley,NDC033,NDZ031,BEACH,America/Denver,2756.04,46.93,-103.98,"2301 University Drive, Building 27",Bismarck,ND,58504,701-250-4224,w-bis.webmaster@noaa.gov
https://api.weather.gov/stations/K20V,K20V,Grand,COC049,COZ213,"Kremmling, Mc Elroy Airfield",America/Denver,7408.498,40.05361,-106.3688899,325 Broadway,Boulder,CO,80305-3328,303-494-4221,w-bou.webmaster@noaa.gov
https://api.weather.gov/stations/K21D,K21D,Washington,MNC163,MNZ063,Lake Elmo Airport,America/Chicago,921.961,45.0002,-92.8549,1733 Lake Drive West,Chanhassen,MN,55317-8581,952-361-6670,w-mpx.webmaster@noaa.gov
https://api.weather.gov/stations/K22N,K22N,Carbon,PAC025,PAZ054,Lehighton Jake Arner Memorial Airport,America/New_York,531.522,40.8095,-75.7615,732 Woodlane Rd.,Mount Holly,NJ,8060,609-261-6600,wfophi.webmaster@noaa.gov
https://api.weather.gov/stations/K24J,K24J,Suwannee,FLC121,FLZ021,Suwannee County Airport,America/New_York,101.711,30.3001,-83.0247,13701 Fang Dr.,Jacksonville,FL,32218,(904) 741-4370,sr-jax.webmaster@noaa.gov
https://api.weather.gov/stations/K28J,K28J,Putnam,FLC107,FLZ037,Palatka Kay Larkin Field,America/New_York,45.934,29.6586,-81.6889,13701 Fang Dr.,Jacksonville,FL,32218,(904) 741-4370,sr-jax.webmaster@noaa.gov
https://api.weather.gov/stations/K2C8,K2C8,Pembina,NDC067,NDZ008,CAVALIER,America/Chicago,885.87,48.7837699,-97.62964,4797 Technology Circle,Grand Forks,ND,58203-0600,701-772-0720,w-fgf.webmaster@noaa.gov
https://api.weather.gov/stations/K2D5,K2D5,Dickey,NDC021,NDZ051,Oakes Municipal Airport,America/Chicago,1332.086,46.1731,-98.0799,"2301 University Drive, Building 27",Bismarck,ND,58504,701-250-4224,w-bis.webmaster@noaa.gov
https://api.weather.gov/stations/K2DP,K2DP,Dare,NCC055,NCZ047,Dare County Gunnery Range,America/New_York,9.843,35.66667,-75.9,533 Roberts Rd,Newport,NC,28570,252-223-5737,wxobs.mhx@noaa.gov
https://api.weather.gov/stations/K2G4,K2G4,Garrett,MDC023,MDZ001,Garrett County Airport,America/New_York,2929.933,39.5803,-79.3394,192 Shafer Road,Moon Township,PA,15108,412-262-1591,pit-comments@noaa.gov
https://api.weather.gov/stations/K2I0,K2I0,Hopkins,KYC107,KYZ016,Madisonville Municipal Airport,America/Chicago,439.654,37.35593,-87.39822,8250 Kentucky Highway 3520,West Paducah,KY,42086-9762,270-744-6440,w-pah.webmaster@noaa.gov
https://api.weather.gov/stations/K2J9,K2J9,Gadsden,FLC039,FLZ016,Quincy Municipal Airport,America/New_York,223.108,30.59787,-84.55743,"1017 Academic Way
FSU, Love Bldg, 4th Floor",Tallahassee,FL,32306-4509,850-942-8833 (person) or 850-942-8851 (recording),sr-tae.webmaster@noaa.gov
https://api.weather.gov/stations/K2P2,K2P2,Door,WIC029,WIZ022,Washington Island,America/Chicago,652.919,45.3883,-86.924,2485 South Point Road,Green Bay,WI,54313-5522,920-494-2363,w-grb.webmaster@noaa.gov
https://api.weather.gov/stations/K2V5,K2V5,Yuma,COC125,COZ252,Wray Municipal Airport,America/Denver,3668.158,40.09929,-102.24308,920 Armory Road,Goodland,KS,67735-9273,785-899-7119,w-gld.webmaster@noaa.gov
https://api.weather.gov/stations/K2V6,K2V6,Yuma,COC125,COZ252,Yuma Municipal Airport,America/Denver,4120.936,40.1046,-102.7128,920 Armory Road,Goodland,KS,67735-9273,785-899-7119,w-gld.webmaster@noaa.gov
https://api.weather.gov/stations/K2W6,K2W6,St. Marys,MDC037,MDZ017,St Marys County Airport,America/New_York,141.083,38.3153999,-76.5501,"Weather Forecast Office Baltimore/Washington
43858 Weather Service Rd.",Sterling,VA,20166,(703) 996-2200,lwxwebmaster@noaa.gov
https://api.weather.gov/stations/K2WX,K2WX,Harding,SDC063,MTZ133,Buffalo,America/Denver,3002.115,45.6044399,-103.54639,2170 Overland Ave,Billings,MT,59102-6455,(406) 652-0851,w-byz.webmaster@noaa.gov
https://api.weather.gov/stations/K33V,K33V,Jackson,COC057,COZ211,Walden-Jackson County Airport,America/Denver,8153.285,40.7453999,-106.2754,325 Broadway,Boulder,CO,80305-3328,303-494-4221,w-bou.webmaster@noaa.gov
https://api.weather.gov/stations/K36U,K36U,Wasatch,UTC051,UTZ479,Heber City Municipal-Russ McDonald Field Airport,America/Denver,5594.105,40.47742,-111.43295,2242 W. North Temple,Salt Lake City,UT,84116,801-524-5133,w-slc.webmaster@noaa.gov
https://api.weather.gov/stations/K3AU,K3AU,Butler,KSC015,KSZ069,Augusta Municipal Airport,America/Chicago,1325.524,37.6716,-97.0779,2142 S. Tyler Road,Wichita,KS,67209-3016,316-942-3102,w-ict.webmaster@noaa.gov
https://api.weather.gov/stations/K3D2,K3D2,Door,WIC029,WIZ022,Ephraim-Gibraltar Airport,America/Chicago,771.035,45.1357,-87.1881,2485 South Point Road,Green Bay,WI,54313-5522,920-494-2363,w-grb.webmaster@noaa.gov
https://api.weather.gov/stations/K3F3,K3F3,De Soto,LAC031,LAZ010,Mansfield - C E Rusty Williams Airport,America/Chicago,314.976,32.0717,-93.764,5655 Hollywood Ave.,Shreveport,LA,71109,318-631-3669,sr-shv.webmaster@noaa.gov
https://api.weather.gov/stations/K3FU,K3FU,Faulk,SDC049,SDZ271,FAULKTON,America/Chicago,1568.318,45.03034,-99.1126,824 Brown County 14 South,Aberdeen,SD,57401-9311,605-225-0519,w-abr.webmaster@noaa.gov
https://api.weather.gov/stations/K3J7,K3J7,Greene,GAC133,GAZ050,"Greensboro, Greene County Regional Airport",America/New_York,675.886,33.5974999,-83.13889,4 Falcon Drive,Peachtree City,GA,30269,770.486.1133,sr-ffc.webmaster@noaa.gov
https://api.weather.gov/stations/K3K3,K3K3,Hamilton,KSC075,KSZ061,HAMILTON,America/Denver,3320.372,37.99166,-101.74633,104 Airport Road,Dodge City,KS,67801-9351,620-225-6514,w-ddc.webmaster@noaa.gov
https://api.weather.gov/stations/K3LF,K3LF,Montgomery,ILC135,ILZ060,Litchfield Municipal Airport,America/Chicago,675.886,39.16052,-89.67419,12 Missouri Research Park Drive,St. Charles,MO,63304-5685,636-441-8467,w-lsx.webmaster@noaa.gov
https://api.weather.gov/stations/K3N8,K3N8,Mahnomen,MNC087,MNZ022,Mahnomen County Airport,America/Chicago,1243.499,47.2605,-95.9281,4797 Technology Circle,Grand Forks,ND,58203-0600,701-772-0720,w-fgf.webmaster@noaa.gov
https://api.weather.gov/stations/K3R7,K3R7,Jefferson Davis,LAC053,LAZ042,Jennings Airport,America/Chicago,22.967,30.2427,-92.6735,500 Airport Boulevard,Lake Charles,LA,70607,(337) 477-5285,sr-lch.webmaster@noaa.gov
https://api.weather.gov/stations/K3T5,K3T5,Fayette,TXC149,TXZ209,"La Grange, Fayette Regional Air Center Airport",America/Chicago,324.819,29.90806,-96.95,2090 Airport Road,New Braunfels,TX,78130,(830) 629-0130,about
https://api.weather.gov/stations/K40B,K40B,Aroostook,MEC003,MEZ001,Clayton Lake,America/New_York,1026.953,46.61667,-69.53333,810 Main Street,Caribou,ME,4736,"207-492-0182 (person), 207-492-0170 (recording)",carwebmaster@noaa.gov
https://api.weather.gov/stations/K40J,K40J,Taylor,FLC123,FLZ028,"Perry-Foley, Perry-Foley Airport",America/New_York,42.653,30.07194,-83.57361,"1017 Academic Way
FSU, Love Bldg, 4th Floor",Tallahassee,FL,32306-4509,850-942-8833 (person) or 850-942-8851 (recording),sr-tae.webmaster@noaa.gov
https://api.weather.gov/stations/K42J,K42J,Bradford,FLC007,FLZ031,Keystone Airpark,America/New_York,196.86,29.84475,-82.04753,13701 Fang Dr.,Jacksonville,FL,32218,(904) 741-4370,sr-jax.webmaster@noaa.gov
https://api.weather.gov/stations/K46D,K46D,Foster,NDC031,NDZ025,CARRINGTON,America/Chicago,1607.69,47.45,-99.15,"2301 University Drive, Building 27",Bismarck,ND,58504,701-250-4224,w-bis.webmaster@noaa.gov
https://api.weather.gov/stations/K46U,K46U,Lincoln,WYC023,IDZ411,Alpine,America/Denver,5633.477,43.1846,-111.0424,1945 Beechcraft Ave,Pocatello,ID,83204,(208) 233-0834,w-pih.webmaster@noaa.gov
https://api.weather.gov/stations/K49A,K49A,Gilmer,GAC123,GAZ007,Gilmer County Airport,America/New_York,1483.012,34.6301,-84.5271,4 Falcon Drive,Peachtree City,GA,30269,770.486.1133,sr-ffc.webmaster@noaa.gov
https://api.weather.gov/stations/K49B,K49B,Meade,SDC093,SDZ260,STURGIS,America/Denver,3241.628,44.418,-103.37545,300 East Signal Drive,Rapid City,SD,57701-3800,605-341-9271,w-unr.webmaster@noaa.gov
https://api.weather.gov/stations/K4A6,K4A6,Jackson,ALC071,ALZ009,Scottsboro Municipal Airport,America/Chicago,649.638,34.68871,-86.00593,320A Sparkman Drive,Huntsville,AL,35805,256-890-8503,sr-hun.webmaster@noaa.gov
https://api.weather.gov/stations/K4A7,K4A7,Henry,GAC151,GAZ057,Hampton Clayton County - Tara Field,America/New_York,872.746,33.3891,-84.3324,4 Falcon Drive,Peachtree City,GA,30269,770.486.1133,sr-ffc.webmaster@noaa.gov
https://api.weather.gov/stations/K4A9,K4A9,DeKalb,ALC049,ALZ010,"Fort Payne, Isbell Field Airport",America/Chicago,876.027,34.47361,-85.72139,320A Sparkman Drive,Huntsville,AL,35805,256-890-8503,sr-hun.webmaster@noaa.gov
https://api.weather.gov/stations/K4BM,K4BM,Park,COC093,COZ214,Wilkerson Pass,America/Denver,11280.078,39.05028,-105.5144399,325 Broadway,Boulder,CO,80305-3328,303-494-4221,w-bou.webmaster@noaa.gov
https://api.weather.gov/stations/K4I3,K4I3,Knox,OHC083,OHZ047,Knox County Airfield,America/New_York,1191.003,40.3289,-82.5261,"Cleveland Hopkins Airport
5301 West Hanger Rd",Cleveland,OH,44135,216-265-2370,nwscle@noaa.gov
https://api.weather.gov/stations/K4I7,K4I7,Putnam,INC133,INZ045,Greencastle Putnam County,America/Indiana/Indianapolis,839.936,39.6336,-86.8138,6900 West Hanna Avenue,Indianapolis,IN,46241-9526,317-856-0664,w-ind.webmaster@noaa.gov
https://api.weather.gov/stations/K4M9,K4M9,Clay,ARC021,ARZ009,Corning Municipal Airport,America/Chicago,292.009,36.404,-90.648,"7777 Walnut Grove Road, OM1",Memphis,TN,38120,(901) 544-0399,sr-meg.webmaster@noaa.gov
https://api.weather.gov/stations/K4MR,K4MR,Roosevelt,NMC041,NMZ108,Melrose Gunnery Range,America/Denver,4347.325,34.3,-103.8,2341 Clark Carr Loop SE,Albuquerque,NM,87106-5633,(505) 243-0702,sr-abq.webmaster@noaa.gov
https://api.weather.gov/stations/K4O4,K4O4,McCurtain,OKC089,OKZ077,"Idabel, Mc Curtain County Regional Airport",America/Chicago,469.183,33.90917,-94.85917,5655 Hollywood Ave.,Shreveport,LA,71109,318-631-3669,sr-shv.webmaster@noaa.gov
https://api.weather.gov/stations/K4S1,K4S1,Curry,ORC015,ORZ618,Gold Beach,America/Los_Angeles,13.124,42.4099999,-124.42,4003 Cirrus Dr.,Medford,OR,97504-4198,(541) 773-1067,w-mfr.webmaster@noaa.gov
https://api.weather.gov/stations/K4X4,K4X4,Jerauld,SDC073,SDZ256,WESSSPRINGS,America/Chicago,1545.351,44.06103,-98.53089,26 Weather Lane,Sioux Falls,SD,57104-0198,605-330-4247,w-fsd.webmaster@noaa.gov
https://api.weather.gov/stations/K54J,K54J,Walton,FLC131,FLZ007,DeFuniak Spr AP,America/Chicago,288.728,30.7311,-86.1538,"1017 Academic Way
FSU, Love Bldg, 4th Floor",Tallahassee,FL,32306-4509,850-942-8833 (person) or 850-942-8851 (recording),sr-tae.webmaster@noaa.gov
https://api.weather.gov/stations/K5A6,K5A6,Montgomery,MSC097,MSZ028,Winona-Montgomery County Airport,America/Chicago,360.91,33.465,-89.7302,234 Weather Service Dr.,Flowood,MS,39232,601-936-2189,sr-jan.webmaster@noaa.gov
https://api.weather.gov/stations/K5B2,K5B2,Saratoga,NYC091,NYZ041,SARATOGA SPRINGS,America/New_York,429.811,43.05,-73.86,"251 Fuller Road
Suite B-300",Albany,NY,12203,518-435-9580,Alywebmaster@noaa.gov
https://api.weather.gov/stations/K5C1,K5C1,Bexar,TXC029,TXZ205,San Antonio Boerne Stage Field,America/Chicago,1384.582,29.7239,-98.6946,2090 Airport Road,New Braunfels,TX,78130,(830) 629-0130,about
https://api.weather.gov/stations/K5H4,K5H4,Wells,NDC103,NDZ023,Harvey Municipal Airport,America/Chicago,1607.69,47.7912,-99.9317,"2301 University Drive, Building 27",Bismarck,ND,58504,701-250-4224,w-bis.webmaster@noaa.gov
https://api.weather.gov/stations/K5M9,K5M9,Crittenden,KYC055,KYZ010,Marion-crittenden County Airport,America/Chicago,649.638,37.3363,-88.1097,8250 Kentucky Highway 3520,West Paducah,KY,42086-9762,270-744-6440,w-pah.webmaster@noaa.gov
https://api.weather.gov/stations/K5R8,K5R8,Calcasieu,LAC019,LAZ041,De Quincy Industrial Airpark,America/Chicago,78.744,30.4412,-93.4735,500 Airport Boulevard,Lake Charles,LA,70607,(337) 477-5285,sr-lch.webmaster@noaa.gov
https://api.weather.gov/stations/K5SM,K5SM,Garfield,COC045,COZ205,Sunlight,America/Denver,10604.192,39.42556,-107.37917,2844 Aviators Way,Grand Junction,CO,81506-8644,970-243-7007,w-gjt.webmaster@noaa.gov
https://api.weather.gov/stations/K5T9,K5T9,Maverick,TXC323,TXZ217,Maverick County Memorial International Airport,America/Chicago,885.87,28.8571,-100.5134999,2090 Airport Road,New Braunfels,TX,78130,(830) 629-0130,about
https://api.weather.gov/stations/K65S,K65S,Boundary,IDC021,IDZ101,Boundary County Airport,America/Los_Angeles,2332.791,48.726,-116.2952,2601 N Rambo Rd.,Spokane,WA,99224,509-244-0110,w-otx.webmaster@noaa.gov
https://api.weather.gov/stations/K66R,K66R,Colorado,TXC089,TXZ210,Robert R Wells Jr Airport,America/Chicago,239.513,29.6411,-96.5158,1353 FM 646 Suite 202,Dickinson,TX,77539,281-337-5074,sr-hgx.webmaster@noaa.gov
https://api.weather.gov/stations/K6A1,K6A1,Taylor,GAC269,GAZ080,Butler Municipal Airport,America/New_York,662.762,32.567,-84.251,4 Falcon Drive,Peachtree City,GA,30269,770.486.1133,sr-ffc.webmaster@noaa.gov
https://api.weather.gov/stations/K6A2,K6A2,Spalding,GAC255,GAZ056,Griffin Spalding County Airport,America/New_York,954.771,33.2269999,-84.2749,4 Falcon Drive,Peachtree City,GA,30269,770.486.1133,sr-ffc.webmaster@noaa.gov
https://api.weather.gov/stations/K6B0,K6B0,Addison,VTC001,VTZ009,Middlebury State Airport,America/New_York,488.869,43.9848,-73.0959,1200 Airport Drive,South Burlington,VT,,(802) 862-2475,btv.webmaster@noaa.gov
https://api.weather.gov/stations/K6B9,K6B9,Onondaga,NYC067,NYZ018,Skaneateles Aero Drome,America/New_York,1036.796,42.914,-76.4408,32 Dawes Drive,Johnson City,NY,13790,(607) 729-1597,bgm.webmaster@noaa.gov
https://api.weather.gov/stations/K6E5,K6E5,Kingsbury,SDC077,SDZ257,DESMET,America/Chicago,1725.806,44.4308,-97.5611799,26 Weather Lane,Sioux Falls,SD,57104-0198,605-330-4247,w-fsd.webmaster@noaa.gov
